Store,Category,Item,Sale Price,Original or Current Price,URL
aafes,Apparel >> Jewelry,Laura Ashley Fine Jewelry (Assorted),save 25%,,https://www.bfads.net/Item/AAFES-Black-Friday-Laura-Ashley-Fine-Jewelry-Assorted/540961
aafes,Apparel >> Jewelry,Lucky Brand Jewelry (Assorted),save 25%,,https://www.bfads.net/Item/AAFES-Black-Friday-Lucky-Brand-Jewelry-Assorted/540305
aafes,Apparel >> Jewelry,Mens Curb Chain & Bracelet Set in Stainless Steel,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Mens-Curb-Chain-Bracelet-Set-in-Stainless-Steel/540451
aafes,Apparel >> Jewelry,Mens Stainless Steel 1/10-cttw. Diamond Bracelet,$49.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Mens-Stainless-Steel-110cttw-Diamond-Bracelet/540454
aafes,Apparel >> Jewelry,Michael Kors Womens Pyper Two Hand Gold Tone Stainless Steel Watch (Gold),$99.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Michael-Kors-Womens-Pyper-Two-Hand-Gold-Tone-Stainless-Steel-Watch-Gold/540445
aafes,Apparel >> Jewelry,Panacea 5 Teardrop Earring Set,$19.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Panacea-5-Teardrop-Earring-Set/540469
aafes,Apparel >> Jewelry,Panacea Faux Druzy Cuff Bangle Set,$14.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Panacea-Faux-Druzy-Cuff-Bangle-Set/540839
aafes,Apparel >> Jewelry,Pave Sterling Silver Crystal Fireball & Split Hoop Earring Set,$14.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Pave-Sterling-Silver-Crystal-Fireball-Split-Hoop-Earring-Set/540856
aafes,Apparel >> Jewelry,Pavilion Celebration Bling Jewelry Case,$14.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Pavilion-Celebration-Bling-Jewelry-Case/540479
aafes,Apparel >> Jewelry,Pavilion Follow Your Dreams Jewelry Case,$14.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Pavilion-Follow-Your-Dreams-Jewelry-Case/540475
aafes,Apparel >> Jewelry,Pavilion You Are So Loved Jewelry Case,$14.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Pavilion-You-Are-So-Loved-Jewelry-Case/540478
aafes,Apparel >> Jewelry,She Shines 14K Gold Over Sterling Silver 1/7-cttww Diamond Bamboo Hoop Earrings,$149.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-She-Shines-14K-Gold-Over-Sterling-Silver-17cttww-Diamond-Bamboo-Hoop-Earrings/540982
aafes,Apparel >> Jewelry,Sofia B Fine Jewelry (Assorted),save 25%,,https://www.bfads.net/Item/AAFES-Black-Friday-Sofia-B-Fine-Jewelry-Assorted/540957
aafes,Apparel >> Jewelry,Spartnia Jewelry (Assorted),save 25%,,https://www.bfads.net/Item/AAFES-Black-Friday-Spartnia-Jewelry-Assorted/540307
aafes,Apparel >> Jewelry,Stainless Steel Mens Gold IP Crystal Pave Cross Pendant,$29.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Stainless-Steel-Mens-Gold-IP-Crystal-Pave-Cross-Pendant/540867
aafes,Apparel >> Jewelry,Stainless Steel Mens Gold IP Crystal Pave Curb Bracelet,$59.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Stainless-Steel-Mens-Gold-IP-Crystal-Pave-Curb-Bracelet/540868
aafes,Apparel >> Jewelry,Sterling Silver 1-cttw. Circle Diamond Pendant,$99.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-1cttw-Circle-Diamond-Pendant/540723
aafes,Apparel >> Jewelry,Sterling Silver 1-cttw. Cross Diamond Pendant,$99.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-1cttw-Cross-Diamond-Pendant/540724
aafes,Apparel >> Jewelry,Sterling Silver 1-cttw. Diamond Huggie Earring,$99.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-1cttw-Diamond-Huggie-Earring/540441
aafes,Apparel >> Jewelry,Sterling Silver 1-cttw. Diamond Huggie Earrings,$99.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-1cttw-Diamond-Huggie-Earrings/540439
aafes,Apparel >> Jewelry,Sterling Silver 1-cttw. Heart Diamond Pendant,$99.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-1cttw-Heart-Diamond-Pendant/540736
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Diamond Adjustable Bolo Bracelet,$49.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Diamond-Adjustable-Bolo-Bracelet/540436
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Diamond Earrings,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Diamond-Earrings/540422
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Diamond Earrings,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Diamond-Earrings/540930
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Diamond Earrings,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Diamond-Earrings/540999
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Diamond Fashion Ring,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Diamond-Fashion-Ring/540428
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Diamond Fashion Ring,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Diamond-Fashion-Ring/541002
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Diamond Pendant,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Diamond-Pendant/540929
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Diamond Pendant,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Diamond-Pendant/540996
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Diamond Solitaire Stud Earrings,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Diamond-Solitaire-Stud-Earrings/540421
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Promo Diamond Fashion Earrings,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Promo-Diamond-Fashion-Earrings/540426
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Promo Diamond Fashion Pendant,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Promo-Diamond-Fashion-Pendant/540424
aafes,Apparel >> Jewelry,Sterling Silver 1/10-cttw. Promo Diamond Ring,$24.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-110cttw-Promo-Diamond-Ring/540427
aafes,Apparel >> Jewelry,Sterling Silver 1/2-cttw. Diamond Bracelet & Hoop Earring Set,$79.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-12cttw-Diamond-Bracelet-Hoop-Earring-Set/540713
aafes,Apparel >> Jewelry,Sterling Silver 1/2-cttw. Diamond Necklace & Earring Set,$79.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-12cttw-Diamond-Necklace-Earring-Set/540709
aafes,Apparel >> Jewelry,Sterling Silver 1/4-cttw. Diamond Bracelet,$59.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-14cttw-Diamond-Bracelet/540435
aafes,Apparel >> Jewelry,Sterling Silver 1/4-cttw. Diamond Bracelet,$59.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-14cttw-Diamond-Bracelet/540871
aafes,Apparel >> Jewelry,Sterling Silver 1/4-cttw. Diamond Fashion Ring,$39.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-14cttw-Diamond-Fashion-Ring/540431
aafes,Apparel >> Jewelry,Sterling Silver 1/4-cttw. Diamond Fashion Ring,$39.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-14cttw-Diamond-Fashion-Ring/540432
aafes,Apparel >> Jewelry,Sterling Silver 2-cttw. Diamond Ring,$249.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-2cttw-Diamond-Ring/540442
